radian measurement is represented as rad
	rad 	|	cos	|	sin	|	tan
--------------------------------------------------------------------------
	0	|	1.0	|	0.0	|	0.0
	15	|	0.966	|	0.259	|	0.259
	30	|	0.866	|	0.5	|	0.5
	45	|	0.707	|	0.707	|	0.707
	60	|	0.5	|	0.866	|	0.866
	75	|	0.259	|	0.966	|	0.966
	90	|	0.0	|	1.0	|	 UN 
	105	|	-0.259	|	0.966	|	0.966
	120	|	-0.5	|	0.866	|	0.866
	135	|	-0.707	|	0.707	|	0.707
	150	|	-0.866	|	0.5	|	0.5
	165	|	-0.966	|	0.259	|	0.259
	180	|	-1.0	|	0.0	|	0.0
	195	|	-0.966	|	-0.259	|	-0.259
	210	|	-0.866	|	-0.5	|	-0.5
	225	|	-0.707	|	-0.707	|	-0.707
	240	|	-0.5	|	-0.866	|	-0.866
	255	|	-0.259	|	-0.966	|	-0.966
	270	|	0.0	|	-1.0	|	 UN 
	285	|	0.259	|	-0.966	|	-0.966
	300	|	0.5	|	-0.866	|	-0.866
	315	|	0.707	|	-0.707	|	-0.707
	330	|	0.866	|	-0.5	|	-0.5
	345	|	0.966	|	-0.259	|	-0.259
	360	|	1.0	|	0.0	|	0.0
